record.date,regionID,daily.suspected,daily.tested,daily.igm_positives,daily.ns1_positives,daily.total_positives,daily.deaths,cumulative.suspected,cumulative.tested,cumulative.igm_positives,cumulative.ns1_positives,cumulative.total_positives,cumulative.deaths
2023-09-14,district_525,10,4,1,0,1,0,264,129,33,1,34,0
2023-09-14,district_526,0,0,0,0,0,0,577,476,24,16,40,0
2023-09-14,district_631,0,0,0,0,0,0,2174,1322,11,43,54,0
2023-09-14,district_542,0,0,0,0,0,0,4178,1142,80,26,106,0
2023-09-14,district_630,0,0,0,0,0,0,2421,920,49,25,74,0
2023-09-14,district_548,0,0,0,0,0,0,4034,2036,86,44,130,0
2023-09-14,district_533,0,0,0,0,0,0,1795,1502,61,104,165,0
2023-09-14,district_535,0,0,0,0,0,0,3074,2111,77,63,140,0
2023-09-14,district_547,0,0,0,0,0,0,8001,3888,107,100,207,0
2023-09-14,district_527,0,0,0,0,0,0,4948,2240,119,30,149,0
2023-09-14,district_530,60,29,3,6,9,0,3806,1992,124,64,188,0
2023-09-14,district_524,21,21,2,0,2,0,1227,1207,65,15,80,0
2023-09-14,district_536,0,0,0,0,0,0,1092,992,82,33,115,0
2023-09-14,district_537,46,46,0,0,0,0,1554,1180,3,75,78,0
2023-09-14,district_540,335,17,3,7,10,0,2557,1209,38,34,72,0
2023-09-14,district_550,0,0,0,0,0,0,389,268,21,5,26,0
2023-09-14,district_538,947,133,21,0,21,0,12559,1735,181,16,197,0
2023-09-14,district_635,0,0,0,0,0,0,2662,2000,32,23,55,0
2023-09-14,district_529,35,35,2,0,2,0,1280,1280,38,22,60,0
2023-09-14,district_528,0,0,0,0,0,0,2647,2409,85,12,97,0
2023-09-14,district_738,9,7,1,1,2,0,513,472,35,8,43,0
2023-09-14,district_546,0,0,0,0,0,0,1453,1453,9,20,29,0
2023-09-14,district_543,48,48,2,2,4,0,1678,1669,63,20,83,0
2023-09-14,district_545,40,40,3,0,3,0,4946,4946,426,17,443,0
2023-09-14,district_531,0,0,0,0,0,0,1213,878,7,106,113,0
2023-09-14,district_544,0,0,0,0,0,0,1273,900,82,26,108,0
2023-09-14,district_539,0,0,0,0,0,0,2397,1203,38,105,143,0
2023-09-14,district_534,154,60,2,9,11,0,5254,2134,94,103,197,0
2023-09-14,district_549,0,0,0,0,0,0,2889,2889,246,173,419,0
2023-09-14,district_532,0,0,0,0,0,0,2344,2060,26,109,135,0
2023-09-14,district_541,0,0,0,0,0,0,1774,1774,34,77,111,0
2023-09-14,ulb_276600,0,0,0,0,0,0,11105,9788,1399,3580,4979,0
